City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,baoqing,46.3317,132.2111,53.85,54,98,3.31,CN,1716659069
116,shangzhi,45.2167,127.9667,50.54,96,100,7.11,CN,1716659070
117,mahanoro,-19.9,48.8,69.03,83,38,4.25,MG,1716659071
118,ezine,39.7856,26.3408,74.71,67,3,13.27,TR,1716659071
119,yemel'yanovo,56.1681,92.6767,49.08,70,40,2.24,RU,1716659072
120,weno,7.4515,151.8468,84.13,81,19,18.14,FM,1716659072
121,arica,-18.475,-70.3042,71.15,68,20,12.66,CL,1716658791
122,arkhangel'sk,64.5401,40.5433,45.1,53,40,4.47,RU,1716659073
123,san jose del guaviare,2.5729,-72.6459,72.3,100,100,0.65,CO,1716659074
124,avarua,-21.2078,-159.775,75.25,100,100,1.14,CK,1716659074
125,sibiti,-3.6819,13.3499,73.69,85,69,1.63,CG,1716659075
126,argo,37.6333,22.7333,70.65,62,98,5.19,GR,1716659076
127,makaha,21.4694,-158.2175,78.71,83,75,0.0,US,1716659076
128,happy valley-goose bay,53.3168,-60.3315,43.11,87,75,20.71,CA,1716659077
129,haiku-pauwela,20.9219,-156.3051,75.04,76,20,10.0,US,1716659077
130,ta`u,-14.2336,-169.5144,82.99,78,86,9.71,AS,1716659078
131,margaret river,-33.95,115.0667,61.34,72,8,7.0,AU,1716659079
132,kailua-kona,19.6406,-155.9956,75.16,95,75,4.61,US,1716658905
133,touros,-5.1989,-35.4608,84.51,67,67,14.65,BR,1716659080
134,isafjordur,66.0755,-23.124,53.64,66,20,11.5,IS,1716659081
135,mahibadhoo,3.7833,72.9667,83.62,79,100,17.0,MV,1716659081
136,port elizabeth,-33.918,25.5701,61.11,96,0,3.44,ZA,1716658958
137,dengi,9.3667,9.95,86.36,51,88,8.41,NG,1716659083
138,trairi,-3.2778,-39.2689,78.91,92,89,9.26,BR,1716659083
139,hermanus,-34.4187,19.2345,59.81,88,45,5.32,ZA,1716659084
140,georgetown,5.4112,100.3354,84.13,81,20,6.91,MY,1716659084
141,aripuana,-9.1667,-60.6333,96.37,33,53,4.76,BR,1716659085
142,puerto baquerizo moreno,-0.9,-89.6,81.59,65,40,11.5,EC,1716658808
143,priozersk,61.0393,30.1291,59.49,82,100,5.3,RU,1716659086
144,hawaiian paradise park,19.5933,-154.9731,72.03,91,100,6.91,US,1716659086
145,ponnamaravati,10.3,78.55,79.97,79,100,3.09,IN,1716659087
146,piti village,13.4626,144.6933,81.48,78,40,6.91,GU,1716659088
147,bengkulu,-3.8004,102.2655,78.46,89,100,3.91,ID,1716659088
148,udachny,66.4167,112.4,49.44,89,100,7.9,RU,1716659089
149,horta,38.5333,-28.6333,67.64,69,40,7.0,PT,1716659089
150,pingliang,35.5392,106.6861,59.47,92,5,1.41,CN,1716659090
151,chita,52.0333,113.55,35.49,81,33,4.47,RU,1716659090
152,laojunmiao,39.8333,97.7333,63.61,32,61,13.29,CN,1716659091
153,alice springs,-23.7,133.8833,45.95,76,0,2.3,AU,1716659091
154,nueva guinea,11.6876,-84.4562,94.19,43,35,8.66,NI,1716659092
155,vadso,70.0744,29.7487,41.88,60,75,12.66,NO,1716659093
156,menongue,-14.6585,17.691,62.71,37,24,5.1,AO,1716659093
157,adrar,20.5022,-10.0711,99.34,11,63,14.05,MR,1716659094
158,wailua homesteads,22.0669,-159.378,74.75,81,100,13.8,US,1716659094
159,nova vicosa,-17.8919,-39.3719,82.0,62,97,10.02,BR,1716659095
160,san pedro pochutla,15.7333,-96.4667,87.51,41,12,10.09,MX,1716659095
161,fale old settlement,-9.3852,-171.2468,84.76,77,53,12.26,TK,1716659096
162,pedernales,18.0384,-71.744,83.82,70,100,6.87,DO,1716659097
163,crossett,33.1282,-91.9612,87.78,52,15,7.76,US,1716659097
164,rongelap,11.1635,166.8941,81.57,86,100,20.27,MH,1716659098
165,neiafu,-18.65,-173.9833,77.68,94,40,0.0,TO,1716659098
166,longboat key,27.4125,-82.659,94.15,48,0,11.5,US,1716658591
167,beira,-19.8436,34.8389,71.69,73,20,7.0,MZ,1716659099
168,port saint john's,-31.6229,29.5448,67.8,85,78,9.86,ZA,1716659100
169,vila velha,-20.3297,-40.2925,80.55,76,75,19.57,BR,1716659005
170,hanceville,34.0607,-86.7675,84.11,90,98,5.66,US,1716659101
171,kruisfontein,-34.0033,24.7314,58.89,86,89,5.97,ZA,1716659102
172,kampung sungai ara,5.327,100.2735,84.11,89,40,4.61,MY,1716659103
173,lai,9.3952,16.2989,81.19,58,70,10.27,TD,1716659104
174,muisne,0.6,-80.0333,81.86,80,96,7.45,EC,1716659101
175,susa,35.8254,10.637,74.98,57,0,12.66,TN,1716658982
176,mossel bay,-34.1831,22.146,57.13,90,48,8.08,ZA,1716659106
177,new norfolk,-42.7826,147.0587,38.91,95,51,2.48,AU,1716659106
178,port lincoln,-34.7333,135.8667,57.56,68,0,8.37,AU,1716659107
179,ulladulla,-35.35,150.4667,52.77,88,64,5.19,AU,1716659108
180,tharangambadi,11.0319,79.8528,78.98,80,100,14.16,IN,1716659108
181,papatowai,-46.5619,169.4708,42.64,75,99,24.7,NZ,1716659109
182,whakatane,-37.9585,176.9854,55.78,91,99,3.0,NZ,1716659109
183,roma,43.2128,-75.4557,80.58,43,0,1.99,US,1716659110
184,ulsteinvik,62.3432,5.8487,71.91,78,8,3.31,NO,1716659110
185,mar del plata,-38.0023,-57.5575,55.09,68,75,13.8,AR,1716658885
186,chernyshevskiy,63.0128,112.4714,52.21,74,86,3.22,RU,1716659112
187,papao,-17.75,-149.55,82.08,84,46,19.37,PF,1716659112
188,altai,46.3722,96.2583,54.93,22,67,5.55,MN,1716659113
189,ayora,39.0585,-1.0563,89.01,25,32,1.77,ES,1716659113
190,nuuk,64.1835,-51.7216,39.81,60,20,13.8,GL,1716659114
191,badger,64.8,-147.5333,48.45,90,100,6.91,US,1716659114
192,talnakh,69.4865,88.3972,28.2,83,100,15.84,RU,1716659115
193,katoro,-3.0203,31.8958,72.23,58,98,3.91,TZ,1716659115
194,harvard,42.4222,-88.6137,70.84,57,14,6.22,US,1716659010
195,portland,45.5234,-122.6762,58.44,71,75,11.5,US,1716658921
196,port-vila,-17.7338,168.3219,71.2,88,100,3.44,VU,1716659117
197,batken,39.8333,71.0,48.22,86,100,1.59,KG,1716659118
198,lompoc,34.6391,-120.4579,69.69,77,0,11.5,US,1716659118
199,vernon,50.2581,-119.2691,65.3,45,83,5.01,CA,1716658871
200,lorengau,-2.0226,147.2712,82.29,85,60,11.16,PG,1716659120
201,san patricio,28.017,-97.5169,93.29,47,8,19.91,US,1716659120
202,nova sintra,14.8667,-24.7167,74.73,79,100,25.9,CV,1716659121
